WKC,GMN,Wijknaam,YEAR,Cluster_Reworked
WK191606,Gemeente Leidschendam-Voorburg, Wijk De Heuvel / Amstelwijk,2015,0
WK191607,Gemeente Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2015,0
WK191608,Gemeente Leidschendam-Voorburg, Wijk Essesteijn,2015,0
WK191609,Gemeente Leidschendam-Voorburg, Wijk Voorburg Midden,2015,0
WK191610,Gemeente Leidschendam-Voorburg, Wijk Bovenveen,2015,0
WK051827,Gemeente 's-Gravenhage, Wijk 27 Stationsbuurt,2015,1
WK051829,Gemeente 's-Gravenhage, Wijk 29 Schildersbuurt,2015,1
WK051830,Gemeente 's-Gravenhage, Wijk 30 Transvaalkwartier,2015,1
WK051831,Gemeente 's-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2015,1
WK051833,Gemeente 's-Gravenhage, Wijk 33 Bouwlust en Vrederust,2015,1
WK051834,Gemeente 's-Gravenhage, Wijk 34 Morgenstond,2015,1
