GMC,gem_name,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
GM0534,Hillegom,2013,41.5532622717625,28601.5132911693,0.086453591006225,0.190420886369971,4.11267324093817,2340.873827514218,147.02396446876307,84.29793181125683,1342.3824162752744,274.04032750933067,228.20243894901822
GM0534,Hillegom,2014,41.8469958625387,30124.7838183714,0.0784205184980164,0.195820647661223,4.09115547329455,2380.8515678322924,154.7426915570602,90.10873104426541,1373.1090897503864,272.9137851431835,201.71123640785916
GM0534,Hillegom,2015,42.2004178915719,29668.5994131289,0.0780364139202581,0.201336713528463,4.0891372314242,2335.889737167064,155.8905672131551,89.65114252947706,1242.532988506402,271.4880663416759,153.17520862049918
GM0534,Hillegom,2016,42.3745276663826,31113.4839569691,0.0941052919957993,0.224099356193781,4.09247254927901,2542.7145722358787,162.37582139273863,94.83471336256711,1426.5498498646245,277.9284462957566,175.84120148315918
GM0534,Hillegom,2017,42.3910878533883,32148.9070879904,0.101017312154203,0.24375334642156,4.07882191601907,2514.4831727405085,167.81048936926703,99.57399671321818,1400.1398212771933,270.9838788592217,184.5420786687922
GM0534,Hillegom,2018,42.4108938428613,32605.8593884876,0.079460535043113,0.197435330532832,4.08464554277267,2525.5044227155695,174.8092689962654,105.01313062863554,1426.7814156597847,255.11256072282785,201.73201290835067
GM0534,Hillegom,2019,42.4850681852573,34774.0264798916,0.0707723416413908,0.191744692074377,4.05606089929682,2561.3886521340505,178.29778755203054,107.2138053401084,1475.383119511713,257.546484059284,167.74193006814224
GM0534,Hillegom,2020,42.5911181301843,35217.392858753,0.0714849574598719,0.186562582229629,3.91816771233893,2383.89725006617,174.226813729815,107.390342363011,1333.99532824495,244.595967969648,199.007396982264
GM0534,Hillegom,2021,42.7089122427416,36935.8831969056,0.0764497970938604,0.199284374045468,3.92038388753717,,,,,,
GM0534,Hillegom,2022,42.7638094833182,39012.3439892545,0.0759724209704696,0.194224014570053,3.93143879173291,,,,,,
GM0537,Katwijk,2009,37.4772569961674,,0.0839580686149937,0.11569250317662,3.80170009894756,1966.8521297797288,135.31258397498098,80.76423865295335,1035.5437456811892,310.8456114556861,234.75478181622952
GM0537,Katwijk,2010,37.7038028571483,,0.0718360381145015,0.135423415451227,3.85702495929338,1991.9196839470264,141.30571040670756,78.86988992906319,1055.3678408203857,313.38134537291035,221.74194947304352
GM0537,Katwijk,2011,37.8483920212618,27203.4091771075,0.0798958970258533,0.153740024771491,3.95624886713794,2036.9539894915174,155.76345270549578,88.53277863375075,1102.2022655713033,312.4061233905651,212.46081444901634
GM0537,Katwijk,2012,38.1324834025457,27220.215577483,0.0751445086705202,0.150336139733601,3.91377967189075,2093.9279208311164,152.14881245769345,90.33783425194235,1224.4485593585284,282.54035255474406,185.87376964985924
GM0537,Katwijk,2013,38.4212643834507,27460.4010151466,0.0753406400426486,0.154679586684855,3.99832285115304,2233.5348146687893,153.72723072906942,91.73413666335844,1288.6175518565858,264.2634059509252,234.10298251281617
GM0537,Katwijk,2014,38.5068348251954,29688.5257070844,0.0801834890820897,0.171633579741814,3.96429889298893,2158.4250246560277,164.6710889266947,100.72978858700968,1227.2953481856637,258.9716996384208,189.1386508464442
GM0537,Katwijk,2015,38.6465291639252,28912.1103176363,0.0902524319288976,0.187269978467694,3.99546225420544,2304.911673797422,165.1916078927577,100.03195505112444,1230.1156276342674,270.90973317101145,149.09878527019745
GM0537,Katwijk,2016,38.9679322723265,30191.7940599652,0.101125649266576,0.208283194467716,4.01375522062829,2396.208052076642,175.44504396540034,108.71991318688882,1295.5085598151834,273.46552399807985,167.20594481769098
GM0537,Katwijk,2017,39.2161014536822,31412.2630396806,0.0940560236848098,0.194989751764974,4.06228002011245,2441.6479561909787,177.80284514066423,110.06607364502835,1321.4298842526478,269.14427278621736,160.4564264011362
GM0537,Katwijk,2018,39.4418422066665,31818.2625597715,0.0837961844964984,0.179379980680995,4.11241871245022,2530.947543447756,189.34833851135153,120.44806254321854,1379.6082612238768,269.97405946644,182.71032001755935
GM0537,Katwijk,2019,39.705732139727,34318.8319953247,0.0886089254609886,0.187173403808037,4.04264997297784,2514.29745438725,187.87444909989014,117.32969094248018,1398.1941616096838,266.4012122930826,169.2926463766676
GM0537,Katwijk,2020,39.9421088701335,34908.5099830174,0.0819535064275796,0.170401779715425,3.97938892008235,2323.7395675913,183.736030060822,117.342828174055,1245.50429253939,262.41465138853,179.710929731697
GM0537,Katwijk,2021,40.1943182878993,36847.7677500498,0.0729356564358507,0.160141657451959,4.02740613860469,,,,,,
