WKC,gem_name,WKN,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2014,38.1057387635621,20397.352567437,0.129631588224925,0.296315882249251,4.6990970430641,2597.5688424436526,160.9250562541032,93.60938695581565,1395.2325419044143,324.3509288964996,325.57806949588314
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2015,38.0529128788295,20743.8663509213,0.120790758102461,0.29081077285017,4.76561493882808,2904.833495359927,161.79981119163548,92.90640851699624,1416.8212249141498,357.1838537831299,278.0916284391724
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2016,37.794904086962,21624.6409799716,0.126900403350915,0.285620712241873,4.78942270437815,2944.7086925242834,171.1173651774049,101.44509397327066,1496.3254592915625,346.73262703441526,245.85862299224695
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2017,37.7565756361061,22470.4386780553,0.11362860847608,0.26991059851225,4.80505065193156,3020.0254910749713,172.96772522920975,102.91728073007275,1483.7901443300486,344.7731881200044,253.03147765606118
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2018,37.6921896569735,22972.0727523033,0.107861614053981,0.249411052029346,4.79374794030413,2998.476850583096,196.57289169436035,118.11595482775122,1447.4083408293968,338.56670843965725,270.03498659989697
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2019,37.6804471982599,24558.0435467497,0.0990052895971257,0.242556305931668,4.71039662051162,2960.1870575047965,199.3750107261245,124.55976766680088,1442.0592093833188,324.0670266937395,251.70246102487346
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2020,37.7245538878243,25490.3566421311,0.0940660371040118,0.235416248074476,4.66947890818859,2791.93573861521,196.923966819026,124.146291179956,1312.59865718639,322.909235483326,264.72227966819
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2021,37.7825521614496,26853.3963358563,0.0979762829825332,0.232102435893105,4.7009888325872,,,,,,
WK051833,'s-Gravenhage,Bouwlust en Vrederust,2022,37.8860877359835,28310.2193135337,0.0970106785391491,0.232584608174606,4.70999030067895,,,,,,
WK191610,Leidschendam-Voorburg,Bovenveen,2009,40.4954324909087,,0.110824742268041,0.15864833906071,4.12258573117856,2126.6169130782055,132.74332064260878,79.33418261190789,1178.0720492334879,366.3350850070032,235.902851142817
WK191610,Leidschendam-Voorburg,Bovenveen,2010,40.5746773830891,,0.117452082432627,0.221789883268482,4.27167859984089,2445.349145564749,129.9668278067656,67.3637313000869,1295.4551539858835,378.2239251642319,400.9527252628339
WK191610,Leidschendam-Voorburg,Bovenveen,2011,40.4964628087327,25842.0323746424,0.0984859408795963,0.207786589762076,4.30723012217104,2431.7246811121527,138.1058842173569,70.80542228490258,1279.1852146946326,397.9603544337713,362.471509072217
WK191610,Leidschendam-Voorburg,Bovenveen,2012,40.534068586202,25810.8129431287,0.0998845265588914,0.227627020785219,4.36936936936937,2418.320412802056,134.46429620190182,72.73687237558092,1371.2011067142057,330.06630510209936,340.87522068511856
WK191610,Leidschendam-Voorburg,Bovenveen,2013,40.2975466930541,26029.8279505879,0.0975471430596909,0.230398412023253,4.22041906327034,2480.8742295481015,136.16999806777747,74.43304343948266,1370.5207311408715,294.3242959401054,389.2794796611903
